date_utc,scan_ts_utc,trades_today,wins,losses,winrate,avg_pnl,daily_pnl_sim,max_consec_losses,max_dd_sim
2026-03-05,2026-03-05T19:29:20.327168+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T19:33:27.199313+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T19:39:53.218420+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T19:46:38.144195+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T19:53:21.694244+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T19:59:36.232670+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T20:05:53.605477+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T20:12:07.926694+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T20:18:23.999685+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T20:24:10.060067+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T20:31:25.022265+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T20:38:31.060978+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T20:41:08.167995+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T21:00:20.600847+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T21:11:01.451224+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T21:25:31.728777+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T21:27:45.388859+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T21:34:01.472497+00:00,12,10,1,90.91,0.6787,8.1442,1,0.1998
2026-03-05,2026-03-05T21:34:49.215860+00:00,13,10,1,90.91,0.6265,8.1442,1,0.1998
2026-03-05,2026-03-05T21:40:32.221426+00:00,13,10,1,90.91,0.6265,8.1442,1,0.1998
2026-03-05,2026-03-05T21:45:38.919527+00:00,13,10,1,90.91,0.6265,8.1442,1,0.1998
2026-03-05,2026-03-05T21:47:04.519460+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T21:49:35.760433+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T21:55:54.411480+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T22:02:25.695307+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T22:07:57.068845+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T22:14:40.820074+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T22:20:58.591632+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T22:25:40.632840+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T22:28:31.721317+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T22:33:32.379766+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T22:35:39.392564+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T22:41:50.269659+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T22:47:20.678620+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T22:53:29.471065+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T23:00:01.080561+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T23:06:19.100481+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T23:12:25.154063+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T23:18:38.845841+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T23:24:51.468614+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T23:31:03.412991+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T23:37:14.879754+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T23:43:28.809765+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T23:49:40.760954+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-05,2026-03-05T23:55:51.933465+00:00,13,10,2,83.33,0.6191,8.0489,1,0.1998
2026-03-06,2026-03-06T00:02:05.239559+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T00:08:21.779549+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T00:14:32.387910+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T00:20:47.897694+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
