ts_entry,ts_exit,symbol,setup,side,entry,sl,tp,pnl_usdt,risk_usdt,r_multiple,exit_reason,partial
2025-07-23T12:30:00+00:00,2025-07-23T12:55:00+00:00,XRPUSDT,TREND_PULLBACK_EMA20,SHORT,3.4427777500000003,3.499792904113926,3.3572550188291115,4.72824003064902,3.31216002043268,1.427539732827085,TP,0
2025-07-23T12:30:00+00:00,2025-07-23T12:55:00+00:00,XRPUSDT,TREND_PULLBACK_EMA20,SHORT,3.4427777500000003,3.5002119823915026,3.356626401412747,4.764758067072634,3.336505378048423,1.4280684510269304,TP,0
2025-07-23T12:30:00+00:00,2025-07-23T12:50:00+00:00,XRPUSDT,TREND_PULLBACK_EMA20,SHORT,3.4427777500000003,3.4881026635337236,3.3747903796994154,3.7095648710164273,2.633043247344285,1.4088507185584336,TP,0
2025-07-23T12:30:00+00:00,2025-07-23T12:50:00+00:00,XRPUSDT,TREND_PULLBACK_EMA20,SHORT,3.4427777500000003,3.485533004619423,3.3786448680708663,3.485647519891984,2.483765013261314,1.403372501537553,TP,0
2025-07-23T12:30:00+00:00,2025-07-23T12:40:00+00:00,XRPUSDT,TREND_PULLBACK_EMA20,SHORT,3.4427777500000003,3.4656512932823254,3.4084674350765125,1.753176290481591,1.3287841936543854,1.3193837636343748,TP,0
2025-07-23T16:15:00+00:00,2025-07-23T17:15:00+00:00,DOGEUSDT,TREND_PULLBACK_EMA20,SHORT,0.246086895,0.251629991411117,0.23777225038332445,6.5174867135249555,4.5049911423499625,1.4467257554085233,TP,0
2025-07-23T19:30:00+00:00,2025-07-23T20:30:00+00:00,SOLUSDT,TREND_PULLBACK_EMA20,SHORT,188.535685,190.88433168458974,185.0127149731154,3.4971917437111104,2.4914611624740837,1.403670984876325,TP,0
2025-07-23T19:30:00+00:00,2025-07-23T20:30:00+00:00,DOGEUSDT,TREND_PULLBACK_EMA20,SHORT,0.242228825,0.246462570631734,0.23587820655239905,5.003486977737648,3.4956579851584397,1.43134339771826,TP,0
2025-07-23T20:00:00+00:00,2025-07-23T20:30:00+00:00,SOLUSDT,TREND_PULLBACK_EMA20,SHORT,189.055425,190.92489823824317,186.25121514263526,2.7265478865414767,1.9776985910276412,1.3786468266252454,TP,0
2025-07-23T20:00:00+00:00,2025-07-23T20:30:00+00:00,ADAUSDT,TREND_PULLBACK_EMA20,SHORT,0.81609175,0.8260572351949388,0.8011435222075918,3.423369417080428,2.4422462780536094,1.401729812363044,TP,0
2025-07-23T20:00:00+00:00,2025-07-23T20:30:00+00:00,DOGEUSDT,TREND_PULLBACK_EMA20,SHORT,0.242628625,0.2457277573304237,0.2379799265043644,3.5919456293630603,2.554630419575366,1.4060529467742415,TP,0
2025-07-23T20:15:00+00:00,2025-07-23T20:35:00+00:00,OPUSDT,TREND_PULLBACK_EMA20,SHORT,0.6988504000000001,0.7118783678028859,0.6793084482956713,5.352599418796588,3.7283996125310486,1.4356292176425105,TP,0
2025-07-23T20:30:00+00:00,2025-07-23T22:30:00+00:00,SOLUSDT,TREND_PULLBACK_EMA20,SHORT,184.9075,189.72838674624026,177.6761698806396,-5.045105255330363,5.2143766437167365,-0.9675375601050331,TIMEOUT,0
2025-07-23T20:30:00+00:00,2025-07-23T22:30:00+00:00,ADAUSDT,TREND_PULLBACK_EMA20,SHORT,0.79410275,0.8195789425915544,0.7558884611126684,-5.377181554905844,6.416346648227683,-0.8380441160221797,TIMEOUT,0
2025-07-23T20:30:00+00:00,2025-07-23T22:30:00+00:00,DOGEUSDT,TREND_PULLBACK_EMA20,SHORT,0.23491248499999998,0.24450007647368166,0.22053109778947744,-5.4823905864348,8.162692139314506,-0.6716400046535633,TIMEOUT,0
2025-07-23T20:30:00+00:00,2025-07-23T22:25:00+00:00,AVAXUSDT,TREND_PULLBACK_EMA20,SHORT,23.326331,24.021139458216545,22.284118312675183,-6.197288852812264,5.957288852812264,-1.040286782449151,SL,0
2025-07-23T21:30:00+00:00,2025-07-23T22:25:00+00:00,ADAUSDT,TREND_PULLBACK_EMA20,SHORT,0.80089935,0.8146680742231722,0.7802462636652416,-3.678315744212356,3.4383157442123564,-1.0698016173773415,SL,0
2025-07-23T21:30:00+00:00,2025-07-23T22:10:00+00:00,AVAXUSDT,TREND_PULLBACK_EMA20,SHORT,23.494247,23.83766459980536,22.979120600291964,-3.1634186548337526,2.923418654833753,-1.082095665498737,SL,0
2025-07-23T23:45:00+00:00,2025-07-24T00:20:00+00:00,XRPUSDT,TREND_PULLBACK_EMA20,SHORT,3.1736123999999997,3.2226401043286588,3.100070843507011,-3.329709652549827,3.089709652549827,-1.077677201740279,SL,0
2025-07-23T23:45:00+00:00,2025-07-24T00:30:00+00:00,OPUSDT,TREND_PULLBACK_EMA20,SHORT,0.6888554,0.6996475198593164,0.6726672202110254,-3.3733484093516246,3.133348409351625,-1.0765953761425664,SL,0
