ts_entry,ts_exit,symbol,setup,side,entry,sl,tp,pnl_usdt,risk_usdt,r_multiple,exit_reason,partial
2026-02-23T00:30:00+00:00,2026-02-23T00:55:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,67234.46595000001,67234.46595000001,67234.46595000001,-0.12,0.0,,PARTIAL_TP,1
2026-02-23T00:30:00+00:00,2026-02-23T01:00:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,67234.46595000001,67234.46595000001,66558.6723525351,0.8851297172011156,0.0,,TP,0
2026-02-24T01:15:00+00:00,2026-02-24T03:15:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,63706.131,65078.084489101595,61648.20076634761,-0.463115103317123,4.307131723637694,-0.10752285581969334,TIMEOUT,0
2026-02-24T09:15:00+00:00,2026-02-24T11:15:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,63112.12815,63561.4052668917,62438.21247466245,-0.4528651083999489,1.4237425675898476,-0.3180807532969756,TIMEOUT,0
2026-02-24T12:45:00+00:00,2026-02-24T13:30:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,62948.60995,62948.60995,62948.60995,-0.12,0.0,,PARTIAL_TP,1
2026-02-24T12:45:00+00:00,2026-02-24T13:35:00+00:00,BTCUSDT,TREND_PULLBACK_EMA20,SHORT,62948.60995,62948.60995,62201.699865245,-0.12,0.0,,SL,0
