ts,open,high,low,close,volume
1761372000000,3929.94,3934.78,3924.16,3926.6,18788.54
1761375600000,3926.6,3959.25,3923.5,3927.0,53452.74
1761379200000,3927.0,3955.0,3925.78,3952.55,33694.53
1761382800000,3952.55,3955.49,3938.5,3941.28,27059.2
1761386400000,3941.28,3946.06,3930.0,3941.01,19519.53
1761390000000,3941.01,3944.38,3936.88,3938.71,8927.45
1761393600000,3938.71,3955.0,3938.0,3951.98,20109.08
1761397200000,3951.98,3956.89,3933.3,3941.71,26436.26
1761400800000,3941.71,3946.8,3931.84,3936.66,13599.52
1761404400000,3936.66,3936.66,3922.05,3931.8,23087.16
1761408000000,3931.8,3936.7,3926.08,3931.17,10730.0
1761411600000,3931.17,3938.2,3928.71,3933.13,7473.25
1761415200000,3933.13,3968.59,3927.57,3958.44,42445.33
1761418800000,3958.44,3962.93,3949.59,3956.33,12760.9
1761422400000,3956.33,3958.5,3942.58,3943.99,15996.35
1761426000000,3943.99,3951.61,3934.26,3951.5,16201.28
1761429600000,3951.5,3963.89,3944.57,3960.17,9986.81
1761433200000,3960.17,3962.99,3948.0,3952.01,6200.09
1761436800000,3952.01,3960.41,3944.17,3948.4,13564.08
1761440400000,3948.4,3954.21,3913.4,3931.35,41280.16
1761444000000,3931.35,3938.01,3919.78,3928.6,24724.56
1761447600000,3928.6,3934.84,3921.14,3930.51,20466.61
1761451200000,3930.51,3940.48,3927.21,3938.6,16188.01
1761454800000,3938.6,3946.05,3936.13,3941.28,7346.5
1761458400000,3941.28,3945.0,3936.82,3943.41,6559.49
1761462000000,3943.41,3955.46,3939.7,3950.24,14173.18
1761465600000,3950.24,3966.44,3949.17,3958.85,21087.28
1761469200000,3958.85,4012.4,3955.15,3987.03,103894.57
1761472800000,3987.03,3989.18,3972.57,3981.7,29608.45
1761476400000,3981.7,4055.62,3975.01,4044.0,117623.5
1761480000000,4044.0,4078.46,4040.0,4071.9,101283.48
1761483600000,4071.9,4100.0,4061.26,4083.01,88368.86
1761487200000,4083.01,4091.17,4062.47,4066.06,49298.86
1761490800000,4066.06,4076.73,4057.18,4073.72,46698.07
1761494400000,4073.72,4074.85,4045.4,4054.53,36196.01
1761498000000,4054.53,4068.2,4052.0,4058.0,17247.86
1761501600000,4058.0,4079.58,4056.6,4071.13,26770.69
1761505200000,4071.13,4071.84,4062.93,4066.65,9693.45
1761508800000,4066.65,4072.3,4051.17,4060.54,21424.49
1761512400000,4060.54,4095.61,4053.0,4079.38,32886.89
1761516000000,4079.38,4179.42,4079.08,4159.32,170668.34
1761519600000,4159.32,4178.33,4146.32,4157.96,55163.79
1761523200000,4157.96,4191.0,4147.42,4169.41,67314.73
1761526800000,4169.41,4207.98,4165.03,4190.41,86231.32
1761530400000,4190.41,4218.0,4181.05,4203.8,61484.39
1761534000000,4203.8,4224.29,4197.03,4203.19,45076.57
1761537600000,4203.19,4217.0,4192.58,4212.08,35055.49
1761541200000,4212.08,4254.61,4209.13,4230.97,86227.42
1761544800000,4230.97,4243.99,4220.02,4233.38,40721.64
1761548400000,4233.38,4246.25,4193.23,4200.01,75260.78
1761552000000,4200.01,4200.37,4153.59,4165.0,86838.1
1761555600000,4165.0,4171.79,4152.17,4158.45,66917.71
1761559200000,4158.45,4173.38,4153.0,4165.35,32522.49
1761562800000,4165.35,4174.6,4130.36,4160.81,101079.59
1761566400000,4160.81,4166.23,4135.51,4143.81,47224.32
1761570000000,4143.81,4186.3,4125.02,4176.04,104959.65
1761573600000,4176.04,4181.88,4121.24,4147.47,92371.13
1761577200000,4147.47,4175.26,4145.17,4172.0,47545.77
1761580800000,4172.0,4219.11,4171.54,4213.01,78606.27
1761584400000,4213.01,4223.69,4196.01,4218.9,56274.2
1761588000000,4218.9,4233.02,4204.94,4212.68,52819.6
1761591600000,4212.68,4219.46,4182.29,4191.61,68845.73
1761595200000,4191.61,4194.06,4126.12,4126.12,114344.41
1761598800000,4126.12,4137.42,4092.55,4113.93,96087.1
1761602400000,4113.93,4142.61,4107.52,4120.89,49825.39
1761606000000,4120.89,4125.66,4100.0,4117.9,39755.8
1761609600000,4117.9,4131.75,4105.0,4113.5,34253.24
1761613200000,4113.5,4140.59,4113.5,4134.61,29071.18
1761616800000,4134.61,4140.06,4068.69,4093.36,93899.2
1761620400000,4093.36,4098.99,4065.0,4091.99,67000.71
1761624000000,4091.99,4104.99,4085.2,4097.54,43113.41
1761627600000,4097.54,4102.62,4064.0,4066.57,34338.01
1761631200000,4066.57,4114.0,4066.0,4111.15,44740.65
1761634800000,4111.15,4126.07,4107.32,4115.01,37870.42
1761638400000,4115.01,4134.64,4108.05,4121.55,35118.93
1761642000000,4121.55,4127.94,4101.31,4120.87,39591.93
1761645600000,4120.87,4123.56,4106.32,4116.74,21089.81
1761649200000,4116.74,4126.47,4107.85,4110.08,24921.35
1761652800000,4110.08,4124.87,4095.32,4120.16,45965.91
1761656400000,4120.16,4166.32,4119.68,4156.63,97859.6
1761660000000,4156.63,4174.83,4067.2,4117.06,195398.24
1761663600000,4117.06,4140.0,4084.16,4094.86,126420.95
1761667200000,4094.86,4138.93,4090.2,4132.49,73885.62
1761670800000,4132.49,4146.42,4120.0,4138.59,41439.69
1761674400000,4138.59,4149.88,4101.05,4112.97,62668.97
1761678000000,4112.97,4116.48,4024.0,4037.06,139437.02
1761681600000,4037.06,4040.2,3957.01,3976.69,244450.8
1761685200000,3976.69,3990.19,3929.2,3979.88,125652.08
1761688800000,3979.88,3997.59,3969.23,3992.42,41179.36
1761692400000,3992.42,3993.94,3973.62,3976.81,26394.14
1761696000000,3976.81,3991.43,3966.53,3969.87,37050.79
1761699600000,3969.87,4007.67,3961.57,3980.25,59750.18
1761703200000,3980.25,4002.67,3978.17,4000.81,21127.38
1761706800000,4000.81,4001.05,3983.0,3995.9,18802.26
1761710400000,3995.9,4018.75,3993.61,4011.0,24839.79
1761714000000,4011.0,4037.12,4010.15,4025.1,46024.34
1761717600000,4025.1,4035.47,4015.04,4023.02,25170.13
1761721200000,4023.02,4029.59,4010.4,4023.15,27588.71
1761724800000,4023.15,4025.68,4001.43,4005.57,32919.16
1761728400000,4005.57,4008.34,3981.58,3995.47,44694.39
1761732000000,3995.47,4002.48,3986.15,3987.34,30612.95
1761735600000,3987.34,4014.22,3981.77,4008.93,34410.41
1761739200000,4008.93,4019.0,4001.63,4014.03,20991.17
1761742800000,4014.03,4027.99,3980.59,3992.58,96555.76
1761746400000,3992.58,3998.89,3971.29,3986.74,73463.28
1761750000000,3986.74,3993.84,3938.5,3950.0,113915.1
1761753600000,3950.0,3975.69,3923.38,3960.66,94161.33
1761757200000,3960.66,4014.86,3957.79,4013.2,68716.68
1761760800000,4013.2,4017.99,3834.28,3916.05,484278.29
1761764400000,3916.05,3956.53,3885.06,3902.91,144576.2
1761768000000,3902.91,3951.88,3884.46,3949.31,71461.04
1761771600000,3949.31,3963.74,3928.18,3954.5,26912.91
1761775200000,3954.5,3958.19,3932.4,3938.99,29056.42
1761778800000,3938.99,3939.2,3870.85,3900.65,84176.13
1761782400000,3900.65,3921.64,3882.56,3920.64,50900.83
1761786000000,3920.64,3933.75,3902.82,3925.5,35594.01
1761789600000,3925.5,3945.86,3920.12,3944.54,33785.85
1761793200000,3944.54,3947.67,3926.0,3932.52,27515.98
1761796800000,3932.52,3933.3,3833.78,3869.82,223441.51
1761800400000,3869.82,3922.06,3854.63,3915.0,127633.93
1761804000000,3915.0,3926.0,3895.07,3911.86,56971.71
1761807600000,3911.86,3944.32,3905.85,3938.71,49378.81
1761811200000,3938.71,3938.98,3912.85,3919.5,43013.84
1761814800000,3919.5,3922.87,3890.02,3898.36,53320.46
1761818400000,3898.36,3907.83,3881.49,3890.7,45757.12
1761822000000,3890.7,3896.39,3874.27,3878.7,33531.14
1761825600000,3878.7,3882.92,3790.0,3815.7,198312.99
1761829200000,3815.7,3834.99,3756.01,3764.21,170455.43
1761832800000,3764.21,3805.0,3762.05,3798.7,83379.54
1761836400000,3798.7,3805.69,3755.49,3771.18,63921.77
1761840000000,3771.18,3801.3,3760.0,3778.96,55455.59
1761843600000,3778.96,3778.96,3723.58,3769.01,173037.42
1761847200000,3769.01,3770.48,3717.06,3718.35,85019.73
1761850800000,3718.35,3734.65,3675.55,3684.05,153828.34
1761854400000,3684.05,3755.78,3677.0,3754.43,90097.42
1761858000000,3754.43,3782.19,3745.13,3771.29,62355.45
1761861600000,3771.29,3782.89,3761.8,3782.18,23885.78
1761865200000,3782.18,3806.0,3771.79,3803.06,41726.1
1761868800000,3803.06,3839.58,3794.25,3830.29,60373.69
1761872400000,3830.29,3859.91,3824.44,3845.64,74991.26
1761876000000,3845.64,3850.22,3805.1,3820.0,72195.84
1761879600000,3820.0,3836.03,3809.65,3827.89,29714.99
1761883200000,3827.89,3872.97,3825.0,3860.67,83290.94
1761886800000,3860.67,3861.74,3843.44,3848.46,29407.69
1761890400000,3848.46,3851.24,3818.92,3829.0,46022.08
1761894000000,3829.0,3839.23,3818.98,3829.5,33670.01
1761897600000,3829.5,3853.89,3816.33,3850.15,47757.66
1761901200000,3850.15,3862.93,3837.86,3843.61,27665.88
