ts_entry,ts_exit,symbol,setup,side,entry,sl,tp,exit_price,qty,pnl_usdt,risk_usdt,r_multiple,risk_status,exit_reason,partial
2026-01-13T09:00:00+00:00,2026-01-13T09:40:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,LONG,92409.1815,91927.99969692614,93130.95420461081,91927.99969692614,0.002164287106038267,-1.2814155720530107,1.0414155720530107,-1.2304555515017623,ok,SL,0
2026-01-13T09:15:00+00:00,2026-01-13T09:40:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,LONG,92441.1975,92109.4068614314,92938.88345785288,92109.4068614314,0.00216353752881663,-0.957841498253185,0.717841498253185,-1.3343356445455195,ok,SL,0
2026-01-13T15:30:00+00:00,2026-01-13T16:00:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,LONG,92823.78869999999,92823.78869999999,93667.38681946401,93667.38681946401,0.0010773100451996528,0.7888167282101244,0.9088167282101244,0.8679601769255119,ok,PARTIAL_TP,1
2026-01-13T15:30:00+00:00,2026-01-13T16:30:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,LONG,92823.78869999999,92823.78869999999,94089.18587919601,93498.4,0.0010773100451996528,0.606765530095201,0.0,,ok,TIME_STOP,0
2026-01-13T15:45:00+00:00,2026-01-13T15:55:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,LONG,92847.10035,92847.10035,93270.19516093087,93270.19516093087,0.001077039558834214,0.33568984851004136,0.45568984851004135,0.7366629948146503,ok,PARTIAL_TP,1
2026-01-13T15:45:00+00:00,2026-01-13T16:00:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,LONG,92847.10035,92847.10035,93481.74256639631,93481.74256639631,0.001077039558834214,0.5635347727650541,0.0,,ok,TP,0
2026-01-13T15:45:00+00:00,2026-01-13T15:55:00+00:00,ETHUSDT,V3_TREND_BREAKOUT,LONG,3155.47695,3155.47695,3173.6622995400567,3173.6622995400567,0.031690930272838785,0.4563106442611299,0.5763106442611299,0.7917789629690976,ok,PARTIAL_TP,1
2026-01-13T15:45:00+00:00,2026-01-13T16:00:00+00:00,ETHUSDT,V3_TREND_BREAKOUT,LONG,3155.47695,3155.47695,3182.754974310085,3182.754974310085,0.031690930272838785,0.7444659663916947,0.0,,ok,TP,0
2026-01-13T19:30:00+00:00,2026-01-13T21:30:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,LONG,93964.7589,93404.05485912155,94805.81496131768,94224.7,0.0021284575445231096,0.31327359542662836,1.193434746052336,0.2624974649538906,ok,TIMEOUT,0
2026-01-13T19:45:00+00:00,2026-01-13T21:45:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,LONG,94091.022,93603.92951204145,94821.66073193782,94144.1,0.002125601314012723,-0.12717733345481436,1.0353644324504223,-0.12283339997861492,ok,TIMEOUT,0
2026-01-13T20:00:00+00:00,2026-01-13T22:00:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,LONG,94262.20755,93800.97026118134,94954.063483228,94057.9,0.0021217411006835686,-0.6734877260149892,0.9786261128544205,-0.6881971747622645,ok,TIMEOUT,0
2026-01-13T22:00:00+00:00,2026-01-13T22:05:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,LONG,94104.92895,94104.92895,94618.04834565899,94618.04834565899,0.00106264359492936,0.42526303923104447,0.5452630392310445,0.7799227320281426,ok,PARTIAL_TP,1
2026-01-13T22:00:00+00:00,2026-01-13T22:10:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,LONG,94104.92895,94104.92895,94874.60804348848,94874.60804348848,0.00106264359492936,0.6978945588465667,0.0,,ok,TP,0
2026-01-13T22:00:00+00:00,2026-01-13T22:05:00+00:00,ETHUSDT,V3_TREND_BREAKOUT,LONG,3214.9066500000004,3214.9066500000004,3245.393068218588,3245.393068218588,0.031105102227462808,0.8282831552383475,0.9482831552383475,0.8734555187054457,ok,PARTIAL_TP,1
2026-01-13T22:00:00+00:00,2026-01-13T22:10:00+00:00,ETHUSDT,V3_TREND_BREAKOUT,LONG,3214.9066500000004,3214.9066500000004,3260.6362773278815,3260.6362773278815,0.031105102227462808,1.3024247328575211,0.0,,ok,TP,0
2026-01-14T14:00:00+00:00,2026-01-14T14:20:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,LONG,95249.601,95249.601,95784.39801024996,95784.39801024996,0.0010498731642980847,0.4414690294082887,0.5614690294082887,0.786274943559285,ok,PARTIAL_TP,1
2026-01-14T14:00:00+00:00,2026-01-14T14:45:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,LONG,95249.601,95249.601,96051.79651537494,96051.79651537494,0.0010498731642980847,0.7222035441124254,0.0,,ok,TP,0
2026-01-14T14:15:00+00:00,2026-01-14T14:45:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,LONG,95649.2007,95649.2007,96153.30483808926,96153.30483808926,0.001045487042946089,0.40703434466782384,0.5270343446678238,0.7723108537155526,ok,PARTIAL_TP,1
