window,test_end_days_ago,test_start_days_ago,run_id,trades_total,wins,losses,winrate,expectancy_R,profit_factor,avg_win_R,avg_loss_R,max_dd_usdt,top_skip_reason
1,246,276,dce7fbc7cdcc,141,77,64,0.5460992907801419,0.1708,1.0737,1.2838,-1.1682,62.96,v3_trend_align_fail:4204
2,216,246,0accf77e2203,199,116,83,0.5829145728643216,0.2528,1.6036,1.2932,-1.2014,22.55,v3_donchian_not_broken:4646
3,186,216,fd074a783943,198,108,90,0.5454545454545454,0.1654,1.3711,1.295,-1.1902,22.12,v3_donchian_not_broken:4079
4,156,186,5ae1a3a9a72e,141,65,76,0.46099290780141844,-0.0803,0.8646,1.2698,-1.2349,32.86,v3_trend_align_fail:4696
5,126,156,07ff1559da79,209,111,98,0.5311004784688995,0.1475,1.0287,1.3244,-1.1855,80.07,v3_donchian_not_broken:5110
6,96,126,4f2107e6819a,263,158,105,0.6007604562737643,0.3685,1.6353,1.3652,-1.1314,39.27,v3_donchian_not_broken:5334
7,66,96,6354635505b3,79,42,37,0.5316455696202531,0.1669,1.0955,1.3091,-1.1297,46.04,v3_trend_align_fail:5392
8,36,66,7182e70f3eb9,153,96,57,0.6274509803921569,0.356,1.5156,1.2738,-1.1897,15.23,v3_donchian_not_broken:3872
9,6,36,258c27f80991,271,177,94,0.6531365313653137,0.4867,1.9476,1.3418,-1.1233,42.74,v3_donchian_not_broken:6177
