ts_entry,ts_exit,symbol,setup,side,entry,sl,tp,exit_price,qty,pnl_usdt,risk_usdt,r_multiple,risk_status,exit_reason,partial
2026-02-23T16:00:00+00:00,2026-02-23T17:25:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,SHORT,65347.31,65347.31,64399.09892422555,64528.4,0.003060569746482296,2.2663311710918057,0.0,,ok,TIME_STOP,0
2026-02-23T17:00:00+00:00,2026-02-23T17:20:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,SHORT,65346.21055,65346.21055,64734.48042018446,64734.48042018446,0.0030606212405686313,1.6322742288092587,0.0,,ok,TP,0
2026-02-23T17:15:00+00:00,2026-02-23T20:15:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,SHORT,64717.0253,64717.0253,63540.87057767128,63968.5,0.0030903768996316957,2.0732252959098885,0.0,,ok,TIME_STOP,0
2026-02-23T20:00:00+00:00,2026-02-23T20:30:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,SHORT,64304.6316,64304.6316,63679.91163038765,64213.3,0.00311019587584419,0.044059165654244115,0.0,,ok,TIME_STOP,0
2026-02-24T04:00:00+00:00,2026-02-24T04:30:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,SHORT,63439.2645,63439.2645,62644.28127672507,63110.3,0.0031526216701330137,0.7971006114044548,0.0,,ok,TIME_STOP,0
2026-02-24T05:15:00+00:00,2026-02-24T13:35:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,SHORT,63189.68935,63189.68935,62198.87561677953,62938.4,0.003165073322203316,0.5553492178388091,0.0,,ok,TIME_STOP,0
2026-02-28T06:15:00+00:00,2026-02-28T06:35:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,SHORT,64844.1617,64844.1617,63608.32828027316,63608.32828027316,0.0030843177667296455,3.57170297318173,0.0,,ok,TP,0
2026-02-28T06:45:00+00:00,2026-02-28T06:55:00+00:00,BTCUSDT,V3_TREND_BREAKOUT,SHORT,63784.4918,64296.65999620351,63016.23950569474,63255.4,0.0031355584148434023,1.4189982457146486,1.6059332974210738,0.8835972502677295,ok,END_OF_DATA,0
